Date,Bamako,Niamey,Scout,Ruby,Shadow,Tex,Jena,Chari,Lewis,Violet,Cat,DrBob,Loretta
15-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.05
16-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.19,NA,NA,NA
17-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-Oct-15,NA,NA,NA,69.52,48.64,NA,39.64,NA,NA,51.06,NA,NA,40.89
20-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-Oct-15,NA,NA,NA,38.57,51.12,NA,NA,NA,NA,NA,NA,NA,NA
23-Oct-15,NA,NA,NA,NA,46.49,NA,NA,NA,NA,44.33,38.22,NA,NA
24-Oct-15,NA,NA,NA,NA,29.71,NA,NA,NA,NA,NA,NA,NA,NA
25-Oct-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-Oct-15,NA,NA,55.52,NA,49.36,NA,NA,48.69,54.93,NA,43.47,46.49,NA
27-Oct-15,NA,NA,NA,42.56,NA,40.85,NA,NA,47.74,NA,49.88,NA,NA
28-Oct-15,NA,43.65,NA,29.91,NA,51.36,32.04,33.04,55.65,NA,NA,61.21,NA
29-Oct-15,NA,38.56,NA,NA,NA,31.53,NA,NA,53.43,NA,32.34,39.35,NA
30-Oct-15,NA,NA,NA,NA,NA,35.35,NA,34.85,44.17,NA,NA,29.4,27.58
31-Oct-15,NA,NA,NA,NA,NA,29.88,NA,NA,NA,NA,NA,45.19,NA
1-Nov-15,NA,NA,NA,36.11,NA,35.66,NA,NA,43.24,NA,NA,68.96,NA
2-Nov-15,NA,44.93,38.32,34.25,54.92,34.46,NA,38.95,57.49,33.31,NA,41.96,NA
3-Nov-15,NA,NA,NA,NA,NA,47.18,NA,NA,57.76,42.39,NA,NA,NA
4-Nov-15,NA,NA,NA,NA,NA,NA,NA,22.99,40.86,NA,40.58,40.68,NA
5-Nov-15,NA,NA,NA,NA,NA,46.39,NA,NA,NA,NA,NA,43.53,26.17
6-Nov-15,NA,NA,26.52,NA,94.35,48.57,33.53,28.48,68.01,NA,81.43,44.65,NA
7-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Nov-15,16.64,NA,31.94,NA,36.3,NA,NA,NA,50.6,33.67,NA,NA,NA
10-Nov-15,NA,NA,35.2,NA,NA,30.66,NA,26.28,47.81,NA,NA,43.2,27.69
11-Nov-15,NA,NA,NA,NA,37.36,38.82,NA,20.36,49.18,34.67,NA,53.22,NA
12-Nov-15,NA,NA,NA,NA,29.22,37.79,NA,24.46,51.12,43.43,NA,52.17,32.51
13-Nov-15,NA,58.29,NA,NA,31.31,30.89,NA,NA,48.33,NA,NA,36.6,NA
14-Nov-15,NA,NA,NA,NA,NA,29.93,NA,NA,NA,NA,NA,43.52,NA
15-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-Nov-15,NA,NA,NA,NA,NA,33.62,NA,NA,NA,NA,NA,39.15,30.94
17-Nov-15,NA,NA,35.59,NA,48.96,35.39,NA,NA,52.3,33.8,64.03,46.22,NA
18-Nov-15,100.66,NA,NA,NA,NA,NA,NA,40.64,NA,NA,NA,NA,NA
19-Nov-15,NA,NA,NA,NA,40.19,NA,37.35,42.64,NA,NA,NA,NA,NA
20-Nov-15,NA,46.33,NA,33.33,NA,NA,NA,NA,NA,31.02,NA,NA,NA
21-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24-Nov-15,51.55,42.49,31.03,46.5,50.21,NA,NA,36.5,NA,33.83,NA,NA,NA
25-Nov-15,NA,37.47,43.9,NA,NA,NA,NA,30.56,NA,55.59,NA,NA,NA
26-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29-Nov-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-Nov-15,NA,NA,NA,NA,30.57,NA,29.75,NA,NA,NA,NA,NA,NA
1-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.18,NA,NA,NA
2-Dec-15,NA,NA,NA,NA,38.72,NA,NA,NA,NA,NA,NA,NA,NA
3-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-Dec-15,56.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Dec-15,NA,27.61,NA,NA,43.37,NA,NA,NA,NA,27.79,NA,NA,NA
10-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-Dec-15,37.66,29.39,NA,NA,26.39,NA,NA,38.07,NA,31.3,NA,NA,NA
12-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-Dec-15,NA,NA,27.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14-Dec-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-Dec-15,NA,NA,34.13,NA,43.71,NA,NA,NA,NA,32.52,NA,NA,NA
